"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
군포 화재 사상자 10명으로… 4명 사망(종합),경기 군포시의 한 아파트에서 불이 나 10명의 사상자가 발생했다.1일 소방당국 등에 따르면 이날 오후 4시37분쯤 경기 군포시 산본동 소재 한 아파트 12층에서 화재가 발생했다.	 소방당국은 이 불로 4명의 사망자가 발생하고 6명이 부상을 입어 병원으로 옮겨졌다고 전했다.	 사망자 4명 중 2명은 12층에서 지상으로 추락했으며 2명은 옥상으로 향하는 계단에서 쓰러져 숨진 채 발견됐다.	 부상자 6명 가운데 계단에서 발견된 1명은 상태가 위독한 것으로 전해졌다.	 다른 5명은 연기를 마셔 병원치료를 받고 있다.	소방당국은 헬기 및 펌프차 등 장비 40여대와 소방관 90여명을 동원해 진화작업을 벌였다.	 불은 30여분 만인 오후 5시11분쯤 꺼졌다.	소방당국에 따르면 불은 12층 내부 인테리어 공사 중 발생한 것으로 추정됐다.	 화기를 다루는 작업을 했는지 여부는 현재 조사 중이다.	경찰과 소방당국은 사망자 신원 파악에 나서는 한편 목격자 등을 상대로 자세한 화재 경위를 조사하고 있다.
지병 앓던 기초수급자 숨진 뒤 뒤늦게 발견… 지자체 역할은?,지병을 앓고 있던 50대 기초수급자가 숨졌다.	 23일 광주 동부경찰서에 따르면 지난 22일 오전 9시17분쯤 동구의 한 원룸 내 화장실에서 A씨가 숨진 채 발견됐다.	원룸 건물주는 A씨의 월세가 2개월 동안 입금되지 않아 보조 열쇠로 문을 열고 들어가 시신을 발견했다.	시신을 확인한 경찰은 A씨가 5~7일 전에 숨진 것으로 추정했다.	근육이 녹는 지병을 앓고 있던 A씨는 지방자치단체에서 관리하는 기초수급자인 것으로 전해졌다.	경찰은 정확한 사인 규명을 위해 국립과학수사연구원에 부검을 의뢰했다.	 또 검체를 채취해 신종 코로나바이러스 감염증 검사도 보건당국에 요청했다.
"20대 男 ""헤어지자""는 전 여친 살해… 구속영장","경찰이 전 여자친구를 살해한 후 시신을 마대자루에 넣어 경인아라뱃길에 버린 20대 남성과 공범에 대해 구속영장을 신청했다.	인천 서부경찰서는 A씨를 살인 및 사체 유기 혐의로, 공범인 B씨를 사체 유기 혐의로 구속영장을 신청했다고 지난 26일 밝혔다.	  A씨는 지난 1월12일 오전 10시쯤 서울 강서구에 위치한 한 빌라에서 C씨를 목졸라 숨지게 한 혐의를 받고 있다.	 B씨는 A씨가 목졸라 살해한 C씨의 시신을 옮겨 경인 아라뱃길에 버릴 당시 도와준 혐의를 받고 있다.	 C씨는 A씨의 전 여자친구, B씨는 A씨의 현 여자친구로 전해졌다.	경찰 조사 결과 A씨는 지난달 12일 C씨를 살해한 후 4일 동안 집안에 방치했다.	 이후 같은달 16일 B씨에게 연락해 C씨의 시신을 마대자루에 넣어 차량 트렁크에 싣고 이날 오전 2~5시쯤 인천 서구 경인아라뱃길에 버린 것으로 조사됐다.	A씨는 경찰 조사에서 ""헤어지자는 말에 화가 나 C씨를 죽였다""며 ""어떻게 해야 할지 몰라 집안에 방치했다""고 진술했다.	 B씨는 ""A씨가 C씨를 죽였다고 해 도와줬다""고 진술했다.	  A씨와 B씨는 직장 없이 아르바이트를 하며 생활비를 마련한 것으로 조사됐다.	  경찰 관계자는 ""A씨가 C씨를 살해할 당시 B씨는 현장에 있지 않은 것으로 조사됐다""며 ""숨진 C씨는 평소 부모와 연락을 자주 하지 않아 실종 신고는 안된 상태였다""고 전했다.	경찰은 C씨의 정확한 사망 원인을 밝히기 위해 국립과학수사연구원에 시신 부검을 의뢰하는 한편  A씨와 B씨에 대해 여죄를 추궁 중이다."
"""코로나 때문에"" 수업 미루고 잠적한 학원장… 수강료 2억원 ""꿀꺽""","서울 송파경찰서는 15일 사기 혐의를 적용해 모 입시학원장 박모씨를 구속했다고 전했다.	박모씨는 올해 1~2월 수강생 약 20명에게서 학원비를 선불로 받았다.	 그러나 이후 두세차례 수업을 미루다가 지난 3월 신종 코로나바이러스 감염증을 핑계로 모습을 감췄다.	약 3개월간 도피 중이던 그는 지난 10일 경기도 모처에서 경찰에 붙잡혔다.	 경찰은 박씨에 대한 구속영장을 신청했고 서울동부지법은 검찰이 청구한 영장을 지난 12일 발부했다.	경찰은 박씨와 함께 학원을 운영한 관계자 2명도 같은 혐의를 적용해 불구속 입건했다.	 경찰 관계자는 ""금주 내로 박씨 등을 검찰에 송치할 것""이라고 밝혔다."
청주 개신 고가도로 차량 충돌 후 화재… 2명 부상,"17일 오전 11시5분쯤 충북 청주시 서원구 개신고가도로에서 승용차와 SUV가 충돌하는 사고가 발생했다.	이 사고로 승용차를 운전하던 A씨가 안면부 부상과 화상, SUV를 몰던 B씨가 타박상을 입고 병원에서 치료 중이다.	아울러 사고 직후 차량에서 화재가 발생했다.	 소방당국에 의해 30여분만에 진화됐으나 방음벽 일부가 녹아내렸다.	 사고와 화재 진화로 도로 양방향이 1시간 넘게 통제됐다.	경찰은 차량 한대가 중앙선을 침범한 것으로 보고 사고 원인을 파악 중이다."
"[머니S포토] 추미애 장관, 검찰개혁 방안 발표","사진공동취재단    <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"플로이드, 사후검사서 코로나 양성… 부검 소견은?","미국 내 인종차별 반대 시위를 촉발한 조지 플로이드가 사후 검사에서 신종 코로나바이러스 감염증 양성 판정을 받았다.	플로이드의 유족 측은 3일 이같은 내용이 들어간 미네소타주 헤너핀카운티 부검 보고서를 공개했다.	보고서에 따르면 플로이드는 사망 하루 뒤인 지난달 25일 부검 과정에서 실시된 코로나바이러스 진단검사 결과 양성 반응을 보였다.	다만 보고서는 ""고인이 지난 4월3일 이미 코로나19 양성 반응을 보인 것으로 알려졌다""라며 ""코로나19 진단검사 양성 반응은 의료상 질병이 해결된 이후에도 수 주 동안 이어질 수 있다""라고 부연했다.	플로이드는 무증상 감염자로 추정되며 선행 감염으로 인한 진단검사 양성 반응이 유지됐을 것이라는 게 부검 소견이다.	플로이드의 혈액을 바탕으로 한 독성 검사 결과에서는 마약성 진통제인 펜타닐과 중추신경 흥분제인 메스암페타민 등 성분이 검출됐다.	 이는 플로이드가 사망하기 직전에 수집된 혈액 샘플을 토대로 검사한 결과다.	플로이드는 심장동맥경화증과 심장 비대증을 앓았으며, 고혈압 전력도 있었던 것으로 알려졌다.	 플로이드의 신체에선 따로 생명을 위협할 만한 부상은 확인되지 않았다.	 목 앞쪽 근육이나 후두부 부상도 없었다.	 다만 이마와 얼굴, 입술, 어깨, 손, 팔꿈치, 다리 등에 물리력에 의한 피부 부상이 있었으며, 수갑 착용으로 인해 손목에 타박상 및 찰과상이 남았다.	플로이드는 지난달 25일 거주지인 미네소타주 미니애폴리스에서 범죄용의자로 몰려 체포되는 과정에서 경찰에 의해 목이 눌려 숨졌다.	 플로이드 사망 사건의 진상이 알려지자 미국 사회는 분노에 휩싸였으며 현재까지 140개가 넘는 지역에서 인종차별 반대 시위가 일어났다."
디지털교도소 �쇄 신호탄?… 운영진 1명 오늘 국내 송환,"신상공개 논란을 불러 일으킨 '디지털교도소' 운영진이 국내로 송환된다.	경찰청은 5일 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반 등의 혐의를 받는 30대 남성 A씨가 이날 오후 특별 전세기를 타고 국내로 송환될 것이라고 밝혔다.	 전세기는 이날 베트남을 출발해 한국시간으로 오는 6일 오전 5시50분쯤 인천국제공항에 도착할 예정이다.	디지털교도소는 악성 범죄자의 신상을 공개해 댓글 등으로 죄를 묻는다는 취지의 웹사이트다.	 A씨는 지난 3월부터 디지털교도소 웹사이트와 인스타그램 계정 등을 운영하며 법무부 '성범죄자 알림e'에 게재된 성범죄자, 디지털성범죄·살인·아동학대 피의자들의 신상정보와 선고 결과 등을 무단으로 게시한 혐의를 받고 있다.	 하지만 범죄자가 아닌 사람들의 신원도 공개돼 그동안 논란을 빚었다.	 한 대학생은 최근 자신의 신상이 이 사이트에 올라가 있는 게 억울하다며 스스로 목숨을 끊기도 했다.	 디지털교도소가 사회적으로 논란이 되자 수사에 착수한 경찰은 국제형사경찰기구와 공조해 지난 22일 오후 베트남 호찌민에서 A씨를 검거했다.	 검거된 이후 A씨는 베트남 하노이에 구금됐다.	 경찰은 A씨의 검거를 시작으로 현재도 디지털교도소를 운영하고 있는 2기 운영진에 대한 수사를 확대한다는 방침이다."
이젠 따뜻한 곳으로… 2년 동안 냉장고에 갇힌 아기,전남 여수의 한 가정에서 남자 아기가 냉장고에서 숨진 채 발견돼 경찰이 수사에 나섰다.30일 여수경찰서 등에 따르면 지난 27일 여수시의 한 가정 내 냉장고에서 두살배기 남자아기가 숨진 채 발견됐다.	이 아기는 출생신고가 되지 않은 상태였고 2018년부터 냉장고에 있었던 것으로 알려졌다.	경찰은 아이의 어머니 A씨를 아동학대 등의 혐의로 구속하는 한편 아기의 시신을 부검해 사인 등을 조사하고 있다.	또 A씨의 아들과 딸은 아동 전문기관으로 이송해 보호하고 있다.	이번 사건은 지난 11일 A씨가 아이들을 제대로 돌보지 않는다는 신고를 받은 아동보호전문기관의 조사 과정에서 드러났다.	아동보호기관은 조사 과정에서 딸과 쌍둥이인 형제가 더 있다는 진술을 지난 확보했고 같은 날 경찰과 함께 A씨의 집을 수색해 숨진 아기를 발견했다.	경찰 관계자는 A씨를 상대로 아동 학대 여부와 시신이 냉장고에 보관하게 된 경위 등을 조사하고 있다.
"""전주·부산 실종"" 연쇄살인범 신상 공개됐다… 31세 최신종","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"민주노총-보수단체 쌍방집회 예고… ""방역에 진보·보수 없다"" 자제 당부","주말인 14일 서울 도심에서 대규모 집회가 예정된 가운데 정부와 방역당국이 자제를 거듭 당부했다.	지난 13일 서울지방경찰청 등에 따르면 민주노총은 14일 오후 1시부터 6시까지 여의도에서 민중대회를 진행한다.	 전국 13개 지역에서 100여명 미만 규모로 산발적으로 이뤄질 예정이지만 당국은 총 10만명 규모가 될 것으로 전망하고 있다.	 같은 시각 도심과 서초구 인근에서는 박근혜씨의 탄핵에 반발하는 보수성향 단체의 대규모 집회가 예정돼 있다.	 이들은 집회를 가진 뒤 자하문로와 서초대로에서 행진할 예정이다.	 이같은 주말 대규모 집회는 그동안 신종 코로나바이러스 감염증의 '적'으로 여겨져 왔다.	 지난 8월15일 광복절을 맞아 광화문 광장과 인근 도심에서 진행됐던 일부 보수단체와 기독교단체의 대규모 집회에서 수많은 코로나19 확진자가 파생되며 이같은 이미지는 더 짙어졌다.	 특히 13일 서울에서만 74명의 코로나19 신규 확진자가 발생한 가운데 이같은 대규모 집회가 예정되면서 자칫 또다시 대규모 집단감염의 원인이 되는 것 아니냐는 우려가 나온다.	일단 방역당국은 사회적 거리두기 단계가 완화되고 개편되면서 여러 일상 활동이 완화된 만큼 집회 자체를 금지할 특징적인 사유는 없다는 입장이다.	윤태호 보건복지부 중앙사고수습본부 방역총괄반장은 13일 열린 코로나19 정례브리핑에서 ""거리두기 단계 개편을 하면서 집회 뿐만 아니라 여러 단체 행사 등과 관련해서도 1단계에서는 500인 이상인 경우 지자체와 협의하도록 돼있다""고 말했다.	 이어 ""어제 민주노총과 중수본 생활방역 쪽에서 유선으로 협의했고, 혹시 발생할 수 있는 여러 우려 사항들에 대한 의견을 전달했다""며 ""여러 기본적인 방역조치를 취할 수 있도록 요청드렸고, 민주노총에서는 '적극적으로 협조하겠다'고 이야기를 들었다""고 설명했다.	정부와 지자체도 개천절때 만큼 강하게 금지를 요구하지는 않고 있다.	 다만 집단감염 가능성이 여전히 남아있는 만큼 참가자들에게 방역수칙을 철저히 지켜줄 것을 거듭 당부했다.	 서울시는 ""민주노총을 비롯해 14일 집회를 신고한 모든 단체에 집회 자제를 강력히 촉구한다.	 집회 개최가 불가피할 경우 참여 인원 축소, 방역수칙 준수를 요청한다""며 불법행위가 일어날 경우 현장 채증을 통해 고발 조치 등을 취하겠다고 밝혔다.	 이낙연 더불어민주당 대표도 ""국민 걱정이 여전히 크다.	 국민들의 걱정을 존중해 대규모 집회는 자제해달라""며 ""방역에는 보수와 진보가 따로일 수 없다""고 강조했다."
